env	row	col	rep	inc.block	yield	gen	Row	Col
E1	1	1	R1	B2	170.473	G42	1	1
E1	1	2	R1	B2	130.424	G58	1	2
E1	1	3	R1	B2	128.833	G26	1	3
E1	1	4	R1	B2	130.615	G10	1	4
E1	1	5	R1	B2	132.085	G34	1	5
E1	1	6	R1	B2	127.071	G50	1	6
E1	1	7	R1	B2	154.63	G02	1	7
E1	1	8	R1	B2	130.367	G18	1	8
E1	1	9	R1	B5	162.885	G45	1	9
E1	1	10	R1	B5	153.222	G61	1	10
E1	1	11	R1	B5	139.892	G29	1	11
E1	2	1	R1	B3	151.42	G51	2	1
E1	2	2	R1	B3	143.175	G35	2	2
E1	2	3	R1	B3	118.644	G11	2	3
E1	2	4	R1	B3	139.329	G27	2	4
E1	2	5	R1	B3	120.852	G59	2	5
E1	2	6	R1	B3	115.828	G43	2	6
E1	2	7	R1	B5	124.743	G21	2	7
E1	2	8	R1	B5	169.062	G05	2	8
E1	2	9	R1	B5	163.077	G53	2	9
E1	2	10	R1	B5	135.95	G37	2	10
E1	2	11	R1	B5	157.524	G13	2	11
E1	3	1	R1	B3	114.518	G03	3	1
E1	3	2	R1	B3	130.769	G19	3	2
E1	3	3	R1	B6	144.485	G46	3	3
E1	3	4	R1	B6	134.499	G62	3	4
E1	3	5	R1	B6	149.769	G30	3	5
E1	3	6	R1	B6	135.031	G14	3	6
E1	3	7	R1	B6	152.787	G38	3	7
E1	3	8	R1	B6	155.388	G54	3	8
E1	3	9	R1	B6	128.254	G06	3	9
E1	3	10	R1	B6	160.53	G22	3	10
E1	3	11	R1	B1	151.212	G41	3	11
E1	4	1	R1	B8	133.48	G16	4	1
E1	4	2	R1	B8	142.337	G32	4	2
E1	4	3	R1	B8	123.864	G64	4	3
E1	4	4	R1	B8	144.142	G48	4	4
E1	4	5	R1	B1	116.224	G17	4	5
E1	4	6	R1	B1	101.065	G01	4	6
E1	4	7	R1	B1	105.018	G49	4	7
E1	4	8	R1	B1	141.151	G33	4	8
E1	4	9	R1	B1	135.031	G09	4	9
E1	4	10	R1	B1	140.429	G25	4	10
E1	4	11	R1	B1	120.514	G57	4	11
E1	5	1	R1	B8	133.679	G40	5	1
E1	5	2	R1	B8	114.021	G56	5	2
E1	5	3	R1	B8	138.736	G08	5	3
E1	5	4	R1	B8	140.139	G24	5	4
E1	5	5	R1	B4	117.722	G44	5	5
E1	5	6	R1	B4	87.917	G60	5	6
E1	5	7	R1	B4	119.924	G28	5	7
E1	5	8	R1	B4	136.462	G12	5	8
E1	5	9	R1	B4	138.547	G36	5	9
E1	5	10	R1	B4	158.722	G52	5	10
E1	5	11	R1	B4	153.018	G04	5	11
E1	6	1	R2	B7	145.193	G07	6	1
E1	6	2	R2	B7	133.367	G52	6	2
E1	6	3	R1	B7	132.105	G23	6	3
E1	6	4	R1	B7	149.882	G07	6	4
E1	6	5	R1	B7	169.696	G55	6	5
E1	6	6	R1	B7	151.953	G39	6	6
E1	6	7	R1	B7	140.833	G15	6	7
E1	6	8	R1	B7	123.266	G31	6	8
E1	6	9	R1	B7	150.888	G63	6	9
E1	6	10	R1	B7	148.547	G47	6	10
E1	6	11	R1	B4	167.343	G20	6	11
E1	7	1	R2	B7	135.28	G26	7	1
E1	7	2	R2	B7	134.341	G19	7	2
E1	7	3	R2	B7	140.166	G61	7	3
E1	7	4	R2	B7	130.615	G33	7	4
E1	7	5	R2	B7	139.188	G14	7	5
E1	7	6	R2	B7	161.191	G48	7	6
E1	7	7	R2	B2	112.854	G31	7	7
E1	7	8	R2	B2	143.297	G60	7	8
E1	7	9	R2	B2	152.819	G53	7	9
E1	7	10	R2	B2	163.438	G46	7	10
E1	7	11	R2	B2	145.534	G02	7	11
E1	8	1	R2	B6	147.209	G15	8	1
E1	8	2	R2	B6	144.009	G42	8	2
E1	8	3	R2	B6	149.401	G20	8	3
E1	8	4	R2	B6	152.13	G51	8	4
E1	8	5	R2	B6	127.594	G37	8	5
E1	8	6	R2	B6	119.858	G06	8	6
E1	8	7	R2	B6	155.367	G32	8	7
E1	8	8	R2	B6	125.689	G57	8	8
E1	8	9	R2	B2	173.112	G17	8	9
E1	8	10	R2	B2	156.101	G35	8	10
E1	8	11	R2	B2	147.408	G16	8	11
E1	9	1	R2	B3	133.406	G34	9	1
E1	9	2	R2	B3	144.185	G45	9	2
E1	9	3	R2	B3	126.331	G12	9	3
E1	9	4	R2	B3	137.843	G64	9	4
E1	9	5	R2	B3	146.556	G23	9	5
E1	9	6	R2	B3	152.663	G54	9	6
E1	9	7	R2	B3	155.238	G25	9	7
E1	9	8	R2	B3	138.355	G03	9	8
E1	9	9	R2	B5	159.834	G43	9	9
E1	9	10	R2	B5	178.107	G38	9	10
