row	col	rep	mainplot	N	G	yield
4	1	rep1	mp1	N1	A	4520
2	2	rep1	mp2	N2	A	5598
1	3	rep1	mp3	N4	A	6192
2	4	rep1	mp4	N6	A	8542
2	5	rep1	mp5	N3	A	5806
1	6	rep1	mp6	N5	A	7470
2	1	rep1	mp1	N1	B	4034
4	2	rep1	mp2	N2	B	6682
3	3	rep1	mp3	N4	B	6869
4	4	rep1	mp4	N6	B	6318
1	5	rep1	mp5	N3	B	5738
3	6	rep1	mp6	N5	B	7862
1	1	rep1	mp1	N1	C	3554
3	2	rep1	mp2	N2	C	4948
4	3	rep1	mp3	N4	C	5522
1	4	rep1	mp4	N6	C	5684
3	5	rep1	mp5	N3	C	5974
4	6	rep1	mp6	N5	C	7260
3	1	rep1	mp1	N1	D	4216
1	2	rep1	mp2	N2	D	5372
2	3	rep1	mp3	N4	D	2504
3	4	rep1	mp4	N6	D	2338
4	5	rep1	mp5	N3	D	4276
2	6	rep1	mp6	N5	D	1594
2	7	rep2	mp7	N3	A	6600
4	8	rep2	mp8	N2	A	5256
4	9	rep2	mp9	N5	A	7578
3	10	rep2	mp10	N1	A	4208
2	11	rep2	mp11	N6	A	9012
1	12	rep2	mp12	N4	A	7146
1	7	rep2	mp7	N3	B	6307
1	8	rep2	mp8	N2	B	5948
1	9	rep2	mp9	N5	B	6324
4	10	rep2	mp10	N1	B	5044
4	11	rep2	mp11	N6	B	7567
4	12	rep2	mp12	N4	B	7072
4	7	rep2	mp7	N3	C	5904
3	8	rep2	mp8	N2	C	6094
2	9	rep2	mp9	N5	C	6392
2	10	rep2	mp10	N1	C	2674
1	11	rep2	mp11	N6	C	7302
2	12	rep2	mp12	N4	C	5970
3	7	rep2	mp7	N3	D	5924
2	8	rep2	mp8	N2	D	4694
3	9	rep2	mp9	N5	D	1690
1	10	rep2	mp10	N1	D	4212
3	11	rep2	mp11	N6	D	1560
3	12	rep2	mp12	N4	D	5126
1	13	rep3	mp13	N4	A	6860
1	14	rep3	mp14	N6	A	8548
4	15	rep3	mp15	N3	A	6794
1	16	rep3	mp16	N1	A	4030
1	17	rep3	mp17	N2	A	6162
2	18	rep3	mp18	N5	A	7642
3	13	rep3	mp13	N4	B	6744
2	14	rep3	mp14	N6	B	5736
3	15	rep3	mp15	N3	B	6732
4	16	rep3	mp16	N1	B	3840
3	17	rep3	mp17	N2	B	5316
4	18	rep3	mp18	N5	B	6666
4	13	rep3	mp13	N4	C	6550
4	14	rep3	mp14	N6	C	5210
2	15	rep3	mp15	N3	C	6104
2	16	rep3	mp16	N1	C	3304
4	17	rep3	mp17	N2	C	5286
1	18	rep3	mp18	N5	C	6410
2	13	rep3	mp13	N4	D	3818
3	14	rep3	mp14	N6	D	1744
1	15	rep3	mp15	N3	D	4236
3	16	rep3	mp16	N1	D	5016
2	17	rep3	mp17	N2	D	4382
3	18	rep3	mp18	N5	D	2856
