week	gen	rep	plot	y	row	col
1	A	rep1	plot1	5	1	1
1	D	rep1	plot2	5.86	2	1
1	B	rep1	plot3	5.82	3	1
1	C	rep1	plot4	5.65	4	1
1	C	rep2	plot5	5.39	1	2
1	A	rep2	plot6	4.42	2	2
1	B	rep2	plot7	5.73	3	2
1	D	rep2	plot8	5.82	4	2
1	A	rep3	plot9	4.42	1	3
1	B	rep3	plot10	5.31	2	3
1	C	rep3	plot11	5.15	3	3
1	D	rep3	plot12	5.26	4	3
1	A	rep4	plot13	4.01	1	4
1	C	rep4	plot14	4.5	2	4
1	D	rep4	plot15	4.87	3	4
1	B	rep4	plot16	4.92	4	4
1	D	rep5	plot17	3.96	1	5
1	C	rep5	plot18	3.75	2	5
1	B	rep5	plot19	3.96	3	5
1	A	rep5	plot20	3.36	4	5
2	A	rep1	plot1	4.84	1	1
2	D	rep1	plot2	5.6	2	1
2	B	rep1	plot3	5.6	3	1
2	C	rep1	plot4	5.97	4	1
2	C	rep2	plot5	5.49	1	2
2	A	rep2	plot6	4.3	2	2
2	B	rep2	plot7	5.59	3	2
2	D	rep2	plot8	5.55	4	2
2	A	rep3	plot9	4.1	1	3
2	B	rep3	plot10	5.19	2	3
2	C	rep3	plot11	5.28	3	3
2	D	rep3	plot12	5.06	4	3
2	A	rep4	plot13	3.89	1	4
2	C	rep4	plot14	4.89	2	4
2	D	rep4	plot15	4.75	3	4
2	B	rep4	plot16	4.66	4	4
2	D	rep5	plot17	3.76	1	5
2	C	rep5	plot18	3.74	2	5
2	B	rep5	plot19	3.86	3	5
2	A	rep5	plot20	3.1	4	5
3	A	rep1	plot1	4.02	1	1
3	D	rep1	plot2	5.37	2	1
3	B	rep1	plot3	5.05	3	1
3	C	rep1	plot4	5.27	4	1
3	C	rep2	plot5	5.08	1	2
3	A	rep2	plot6	3.67	2	2
3	B	rep2	plot7	5	3	2
3	D	rep2	plot8	5.29	4	2
3	A	rep3	plot9	3.46	1	3
3	B	rep3	plot10	4.86	2	3
3	C	rep3	plot11	4.93	3	3
3	D	rep3	plot12	4.76	4	3
3	A	rep4	plot13	3.21	1	4
3	C	rep4	plot14	4.74	2	4
3	D	rep4	plot15	4.55	3	4
3	B	rep4	plot16	4.56	4	4
3	D	rep5	plot17	3.56	1	5
3	C	rep5	plot18	3.55	2	5
3	B	rep5	plot19	3.5	3	5
3	A	rep5	plot20	2.67	4	5
4	A	rep1	plot1	3.75	1	1
4	D	rep1	plot2	5	2	1
4	B	rep1	plot3	4.72	3	1
4	C	rep1	plot4	5.07	4	1
4	C	rep2	plot5	4.87	1	2
4	A	rep2	plot6	3.23	2	2
4	B	rep2	plot7	4.65	3	2
4	D	rep2	plot8	4.95	4	2
4	A	rep3	plot9	3.09	1	3
4	B	rep3	plot10	4.44	2	3
4	C	rep3	plot11	4.67	3	3
4	D	rep3	plot12	4.48	4	3
4	A	rep4	plot13	2.89	1	4
4	C	rep4	plot14	4.49	2	4
4	D	rep4	plot15	4.33	3	4
4	B	rep4	plot16	4.16	4	4
4	D	rep5	plot17	3.18	1	5
4	C	rep5	plot18	3.28	2	5
4	B	rep5	plot19	3.13	3	5
4	A	rep5	plot20	2.47	4	5
5	A	rep1	plot1	3.13	1	1
5	D	rep1	plot2	4.37	2	1
5	B	rep1	plot3	4.46	3	1
5	C	rep1	plot4	4.52	4	1
5	C	rep2	plot5	4.32	1	2
5	A	rep2	plot6	2.83	2	2
5	B	rep2	plot7	4.42	3	2
5	D	rep2	plot8	4.07	4	2
5	A	rep3	plot9	2.82	1	3
5	B	rep3	plot10	4.22	2	3
5	C	rep3	plot11	4.15	3	3
5	D	rep3	plot12	3.94	4	3
5	A	rep4	plot13	2.56	1	4
5	C	rep4	plot14	4.1	2	4
5	D	rep4	plot15	3.83	3	4
5	B	rep4	plot16	3.99	4	4
5	D	rep5	plot17	2.96	1	5
5	C	rep5	plot18	3	2	5
5	B	rep5	plot19	2.95	3	5
5	A	rep5	plot20	2.16	4	5
