gen	block	y	n	row	col
G14	B1	2	8	1	1
G16	B1	1	9	2	1
G07	B1	9	13	3	1
G06	B1	9	9	4	1
G13	B1	2	9	1	2
G15	B1	7	14	2	2
G08	B1	6	8	3	2
G05	B1	8	11	4	2
G11	B1	7	12	1	3
G12	B1	8	11	2	3
G02	B1	8	10	3	3
G03	B1	5	12	4	3
G10	B1	7	9	1	4
G09	B1	8	15	2	4
G04	B1	6	19	3	4
G01	B1	7	8	4	4
G15	B2	6	15	1	5
G03	B2	9	11	2	5
G10	B2	5	12	3	5
G02	B2	9	9	4	5
G11	B2	10	20	1	6
G07	B2	8	10	2	6
G14	B2	4	12	3	6
G06	B2	7	10	4	6
G05	B2	8	8	1	7
G13	B2	0	6	2	7
G12	B2	2	9	3	7
G16	B2	0	9	4	7
G09	B2	9	14	1	8
G01	B2	12	13	2	8
G08	B2	3	12	3	8
G04	B2	7	14	4	8
G07	B3	7	7	5	1
G13	B3	0	7	6	1
G08	B3	3	13	7	1
G14	B3	0	9	8	1
G04	B3	11	15	5	2
G10	B3	7	9	6	2
G03	B3	11	15	7	2
G09	B3	5	13	8	2
G06	B3	9	16	5	3
G01	B3	8	8	6	3
G15	B3	0	7	7	3
G12	B3	8	12	8	3
G11	B3	1	8	5	4
G16	B3	1	15	6	4
G05	B3	7	12	7	4
G02	B3	12	16	8	4
G09	B4	8	15	5	5
G04	B4	6	10	6	5
G12	B4	5	13	7	5
G01	B4	9	15	8	5
G15	B4	6	17	5	6
G06	B4	2	8	6	6
G14	B4	5	12	7	6
G07	B4	8	15	8	6
G13	B4	2	13	5	7
G08	B4	9	13	6	7
G03	B4	9	9	7	7
G10	B4	6	6	8	7
G02	B4	8	12	5	8
G11	B4	7	9	6	8
G05	B4	10	11	7	8
G16	B4	7	15	8	8
